UniqueID1232,FESID2244,EnvironmentalClass,EnvironmentalSubclass,Ecological End-Product Class,Ecological End-Product Subclass,Direct Use/Non-Use Class,Direct Use/Non-Use Subclass I,Direct Use/Non-Use Subclass II,Direct User Class,Direct User Subclass I,Direct User Subclass II,FESID2244,BeneficiaryCategory,BeneficiarySubcategory,FEGSIDNumber,FEGS,Example,Importance,FEGSMeasurementincludingUnits,MeasurementType,Status,Source,Notes
984,22.83.2201.3924,Terrestrial,Agroecosystems,Combined End-products,Presence of environmental class/sub-class ,Non-use,Bequest,Bequest,Government ,,Administration of Environmental Quality Programs ,22.83.2201.3924,Non-Use,People Who Care (Option / Bequest),22.0902,presence of the environment, ,knowing that the environment exists,charasmatic species (presence or absence),Stock,Proposed,Susan Yee (USEPA),NA
1019,31.83.2201.3924,Atmospheric,Atmosphere,Combined End-products,Presence of environmental class/sub-class ,Non-use,Bequest,Bequest,Government ,,Administration of Environmental Quality Programs ,31.83.2201.3924,Non-Use,People Who Care (Option / Bequest),31.0902,presence of the environment, ,knowing that the environment exists,NA,NA,NA,NA,NA
1004,26.83.2201.3924,Terrestrial,Barren / Rock and Sand,Combined End-products,Presence of environmental class/sub-class ,Non-use,Bequest,Bequest,Government ,,Administration of Environmental Quality Programs ,26.83.2201.3924,Non-Use,People Who Care (Option / Bequest),26.0902,presence of the environment, ,knowing that the environment exists,NA,NA,NA,NA,NA
989,23.83.2201.3924,Terrestrial,Created Greenspace,Combined End-products,Presence of environmental class/sub-class ,Non-use,Bequest,Bequest,Government ,,Administration of Environmental Quality Programs ,23.83.2201.3924,Non-Use,People Who Care (Option / Bequest),23.0902,presence of the environment, ,knowing that the environment exists,charasmatic species (presence or absence),Stock,Proposed,Susan Yee (USEPA),NA
979,21.83.2201.3924,Terrestrial,Forests,Combined End-products,Presence of environmental class/sub-class ,Non-use,Bequest,Bequest,Government ,,Administration of Environmental Quality Programs ,21.83.2201.3924,Non-Use,People Who Care (Option / Bequest),21.0902,presence of the environment, ,knowing that the environment exists,charasmatic species (presence or absence),Stock,Proposed,Susan Yee (USEPA),NA
994,24.83.2201.3924,Terrestrial,Grasslands,Combined End-products,Presence of environmental class/sub-class ,Non-use,Bequest,Bequest,Government ,,Administration of Environmental Quality Programs ,24.83.2201.3924,Non-Use,People Who Care (Option / Bequest),24.0902,presence of the environment, ,knowing that the environment exists,charasmatic species (presence or absence),Stock,Proposed,Susan Yee (USEPA),NA
974,16.83.2201.3924,Aquatic,Groundwater,Combined End-products,Presence of environmental class/sub-class ,Non-use,Bequest,Bequest,Government ,,Administration of Environmental Quality Programs ,16.83.2201.3924,Non-Use,People Who Care (Option / Bequest),16.0902,presence of the environment, ,knowing that the environment exists,NA,NA,NA,NA,NA
1014,28.83.2201.3924,Terrestrial,Ice and Snow,Combined End-products,Presence of environmental class/sub-class ,Non-use,Bequest,Bequest,Government ,,Administration of Environmental Quality Programs ,28.83.2201.3924,Non-Use,People Who Care (Option / Bequest),28.0902,presence of the environment, ,knowing that the environment exists,NA,NA,NA,NA,NA
959,13.83.2201.3924,Aquatic,Lakes and Ponds,Combined End-products,Presence of environmental class/sub-class ,Non-use,Bequest,Bequest,Government ,,Administration of Environmental Quality Programs ,13.83.2201.3924,Non-Use,People Who Care (Option / Bequest),13.0902,presence of the environment, ,knowing that the environment exists,naturalness of biotic assembly (Observed/Expected),Stock,Proposed,"Dave Peck (USEPA), John Stoddard (USEPA)",NA
964,14.83.2201.3924,Aquatic,Near Coastal Marine and Estuaries,Combined End-products,Presence of environmental class/sub-class ,Non-use,Bequest,Bequest,Government ,,Administration of Environmental Quality Programs ,14.83.2201.3924,Non-Use,People Who Care (Option / Bequest),14.0902,presence of the environment, ,knowing that the environment exists,NA,NA,NA,NA,NA
969,15.83.2201.3924,Aquatic,Open Oceans and Seas,Combined End-products,Presence of environmental class/sub-class ,Non-use,Bequest,Bequest,Government ,,Administration of Environmental Quality Programs ,15.83.2201.3924,Non-Use,People Who Care (Option / Bequest),15.0902,presence of the environment, ,knowing that the environment exists,NA,NA,NA,NA,NA
949,11.83.2201.3924,Aquatic,Rivers and Streams,Combined End-products,Presence of environmental class/sub-class ,Non-use,Bequest,Bequest,Government ,,Administration of Environmental Quality Programs ,11.83.2201.3924,Non-Use,People Who Care (Option / Bequest),11.0902,presence of the environment, ,knowing that the environment exists,NA,NA,NA,NA,NA
999,25.83.2201.3924,Terrestrial,Scrubland / Shrubland,Combined End-products,Presence of environmental class/sub-class ,Non-use,Bequest,Bequest,Government ,,Administration of Environmental Quality Programs ,25.83.2201.3924,Non-Use,People Who Care (Option / Bequest),25.0902,presence of the environment, ,knowing that the environment exists,charasmatic species (presence or absence),Stock,Proposed,Susan Yee (USEPA),NA
1009,27.83.2201.3924,Terrestrial,Tundra,Combined End-products,Presence of environmental class/sub-class ,Non-use,Bequest,Bequest,Government ,,Administration of Environmental Quality Programs ,27.83.2201.3924,Non-Use,People Who Care (Option / Bequest),27.0902,presence of the environment, ,knowing that the environment exists,NA,NA,NA,NA,NA
954,12.83.2201.3924,Aquatic,Wetlands,Combined End-products,Presence of environmental class/sub-class ,Non-use,Bequest,Bequest,Government ,,Administration of Environmental Quality Programs ,12.83.2201.3924,Non-Use,People Who Care (Option / Bequest),12.0902,presence of the environment, ,knowing that the environment exists,NA,NA,NA,NA,NA
982,22.83.2101.3924,Terrestrial,Agroecosystems,Combined End-products,Presence of environmental class/sub-class ,Non-use,Existence,Existence,Government ,,Administration of Environmental Quality Programs ,22.83.2101.3924,Non-Use,People Who Care (Existence),22.0901,presence of the environment, ,knowing that the environment exists,charasmatic species (presence or absence),Stock,Proposed,Susan Yee (USEPA),NA
1017,31.83.2101.3924,Atmospheric,Atmosphere,Combined End-products,Presence of environmental class/sub-class ,Non-use,Existence,Existence,Government ,,Administration of Environmental Quality Programs ,31.83.2101.3924,Non-Use,People Who Care (Existence),31.0901,presence of the environment, ,knowing that the environment exists,NA,NA,NA,NA,NA
1002,26.83.2101.3924,Terrestrial,Barren / Rock and Sand,Combined End-products,Presence of environmental class/sub-class ,Non-use,Existence,Existence,Government ,,Administration of Environmental Quality Programs ,26.83.2101.3924,Non-Use,People Who Care (Existence),26.0901,presence of the environment, ,knowing that the environment exists,NA,NA,NA,NA,NA
