"Environmental Class","Environmental Subclass","Beneficiary Category","Beneficiary Subcategory","FEGS ID Number","Potentially Relevant NAICS Code","FEGS","Example","Importance","FEGS Measurement including Units","Measurement Type","Status","Source","Notes"
"Aquatic","Rivers and Streams","Agricultural","Livestock Grazers","11.0103","112","flora","","non-cultivated vegetation for livestock consumption","NA","NA","NA","NA","NA"
"Aquatic","Rivers and Streams","Agricultural","Aquaculturists","11.0105","112","presence of the environment","","opportunity provided by the environment for cultivating aquatic organisms","flow rate (cu ft / sec)","Stock","Proposed","Bill Fisher (USEPA)","daily averages are preferred - could use USGS gauges above tidal influence"
"Aquatic","Rivers and Streams","Commercial / Industrial","Food Extractors","11.0201","114, 311, 312, 454","flora","wild rice, watercress, water pepper","edible organisms (i.e., flowers, plants, etc.) or associated products (i.e., fruit, greens, tubers, berries, sap) for commercial use or sale","NA","NA","NA","NA","NA"
"Aquatic","Rivers and Streams","Commercial / Industrial","Food Extractors","11.0201","114, 311, 312, 454","fauna","fish, crawfish, clams, snails, alligator","edible organisms (i.e., birds, mammals, reptiles, etc.) for commercial use or sale","NA","NA","NA","NA","NA"
"Aquatic","Rivers and Streams","Commercial / Industrial","Timber, Fiber, and Ornamental Extractors","11.0202","339, 424, 453, 454","fiber","reeds, grasses","non-cultivated fiber for commercial use or sale","NA","NA","NA","NA","NA"
"Aquatic","Rivers and Streams","Commercial / Industrial","Timber, Fiber, and Ornamental Extractors","11.0202","339, 424, 453, 454","natural materials","mollusk shells","non-cultivated ornamental products or by-products (from cultivation) used ornamentally for commercial use or sale","NA","NA","NA","NA","NA"
"Aquatic","Rivers and Streams","Commercial / Industrial","Industrial Dischargers","11.0204","211, 212, 221, 311-339","presence of the environment","","opportunity to discharge into the environment","NA","NA","NA","NA","NA"
"Aquatic","Rivers and Streams","Commercial / Industrial","Electric and other Energy Generators","11.0205","221","presence of the environment","","opportunity to install power generation structures, such as dams and water turbines","mean annual water yield for hydropower production (mean mm per watershed per year)","Stock","Proposed","Susan Yee (USEPA)","often modeled for entire watersheds"
"Aquatic","Rivers and Streams","Commercial / Industrial","Resource-Dependent Businesses","11.0206","487, 712, 713, 721, 722","presence of the environment","","opportunity for placement of infrastructure and reduced/increased risk of flooding, erosion, and pest infestation on the property","NA","NA","NA","NA","NA"
"Aquatic","Rivers and Streams","Commercial / Industrial","Pharmaceutical and Food Supplement Suppliers","11.0207","325, 339, 424","flora","","organisms (i.e., flowers, plants, etc.) or associated products (i.e., fruit, greens, tubers, berries, sap) used in medicines or sold for medicinal purposes","NA","NA","NA","NA","NA"
"Aquatic","Rivers and Streams","Commercial / Industrial","Pharmaceutical and Food Supplement Suppliers","11.0207","325, 339, 424","fauna","fish for fish oil","organisms (i.e., birds, mammals, reptiles, etc.) or products associated with organisms (i.e., oils, fats, keratin, etc.) used in medicines or sold for medicinal purposes","NA","NA","NA","NA","NA"
"Aquatic","Rivers and Streams","Commercial / Industrial","Fur / Hide Trappers and Hunters","11.0208","114","fauna","beaver","organisms (i.e., mammals and reptiles) that provide fur or hides for commercial use or sale","NA","NA","NA","NA","NA"
"Aquatic","Rivers and Streams","Government, Municipal, and Residential","Residential Property Owners","11.0303","531, 532, 814","presence of the environment","","opportunity for placement of infrastructure and reduced/increased risk of flooding, erosion, and pest infestation on the property","visible water bodies (presence or absence)","Stock","Proposed","Marc Russell (USEPA)","NA"
"Aquatic","Rivers and Streams","Government, Municipal, and Residential","Military / Coast Guard","11.0304","928","presence of the environment","","opportunity for placement of infrastructure","NA","NA","NA","NA","NA"
"Aquatic","Rivers and Streams","Government, Municipal, and Residential","Military / Coast Guard","11.0304","928","open space","","suitable conditions for training activities","NA","NA","NA","NA","NA"
